,Player,Base Price,TYPE,COST IN â‚¹ (CR.),Sold Prize,2021 Squad,2022 Squad
1,Rashid Khan,Draft Pick,BOWLER,15,150000000,Sunrisers Hyderabad,Gujarat Titans
2,Hardik Pandya,Draft Pick,ALL-ROUNDER,15,150000000,Mumbai Indians,Gujarat Titans
3,Lockie Ferguson,20000000,BOWLER,10,100000000,Kolkata Knight Riders,Gujarat Titans
4,Rahul Tewatia,4000000,ALL-ROUNDER,9,90000000,Rajasthan Royals,Gujarat Titans
5,Shubman Gill,Draft Pick,BATTER,8,80000000,Kolkata Knight Riders,Gujarat Titans
6,Mohammad ShaMumbai Indians,20000000,BOWLER,6.25,62500000,Punjab Kings,Gujarat Titans
7,Yash Dayal,2000000,BOWLER,3.2,32000000,,Gujarat Titans
8,David Mumbai Indiansller,10000000,BATTER,3,30000000,Rajasthan Royals,Gujarat Titans
9,R. Sai Kishore,2000000,BOWLER,3,30000000,Chennai Super Kings,Gujarat Titans
10,Abhinav Sadarangani,2000000,BATTER,2.6,26000000,,Gujarat Titans
11,Matthew Wade,20000000,WICKETKEEPER,2.4,24000000,,Gujarat Titans
12,AlzaRajasthan Royalsi Joseph,7500000,BOWLER,2.4,24000000,,Gujarat Titans
13,Jason Roy,20000000,BATTER,2,20000000,Sunrisers Hyderabad,Gujarat Titans
14,Wriddhiman Saha,10000000,WICKETKEEPER,1.9,19000000,Sunrisers Hyderabad,Gujarat Titans
15,Jayant Yadav,10000000,ALL-ROUNDER,1.7,17000000,Mumbai Indians,Gujarat Titans
16,Vijay Shankar,5000000,ALL-ROUNDER,1.4,14000000,Sunrisers Hyderabad,Gujarat Titans
17,DoMumbai Indiansnic Drakes,7500000,ALL-ROUNDER,1.1,11000000,Chennai Super Kings,Gujarat Titans
18,Varun Aaron,5000000,BOWLER,0.5,5000000,,Gujarat Titans
19,Gurkeerat Singh,5000000,ALL-ROUNDER,0.5,5000000,Kolkata Knight Riders,Gujarat Titans
20,Noor Ahmad,3000000,BOWLER,0.3,3000000,,Gujarat Titans
21,Darshan Nalkande,2000000,ALL-ROUNDER,0.2,2000000,Punjab Kings,Gujarat Titans
22,Pradeep Sangwan,2000000,ALL-ROUNDER,0.2,2000000,,Gujarat Titans
23,Ravindra Jadeja,Retained,ALL-ROUNDER,16,160000000,Chennai Super Kings,Chennai Super Kings
24,Deepak Chahar,20000000,BOWLER,14,140000000,Chennai Super Kings,Chennai Super Kings
25,MS Dhoni,Retained,WICKETKEEPER,12,120000000,Chennai Super Kings,Chennai Super Kings
26,Moeen Ali,Retained,ALL-ROUNDER,8,80000000,Chennai Super Kings,Chennai Super Kings
27,Ambati Rayudu,20000000,WICKETKEEPER,6.75,67500000,Chennai Super Kings,Chennai Super Kings
28,Ruturaj Gaikwad,Retained,BATTER,6,60000000,Chennai Super Kings,Chennai Super Kings
29,Dwayne Bravo,20000000,ALL-ROUNDER,4.4,44000000,Chennai Super Kings,Chennai Super Kings
30,Shivam Dube,5000000,ALL-ROUNDER,4,40000000,Rajasthan Royals,Chennai Super Kings
31,Chris Jordan,20000000,ALL-ROUNDER,3.6,36000000,Punjab Kings,Chennai Super Kings
32,Robin Uthappa,20000000,BATTER,2,20000000,Chennai Super Kings,Chennai Super Kings
33,Mumbai Indianstchell Santner,10000000,ALL-ROUNDER,1.9,19000000,Chennai Super Kings,Chennai Super Kings
34,Adam Mumbai Indianslne,15000000,BOWLER,1.9,19000000,Mumbai Indians,Chennai Super Kings
35,Rajvardhan Hangargekar,3000000,ALL-ROUNDER,1.5,15000000,,Chennai Super Kings
36,Prashant Solanki,2000000,BOWLER,1.2,12000000,,Chennai Super Kings
37,Devon Conway,10000000,BATTER,1,10000000,,Chennai Super Kings
38,Maheesh Theekshana,5000000,BOWLER,0.7,7000000,,Chennai Super Kings
39,Dwaine Pretorius,5000000,ALL-ROUNDER,0.5,5000000,,Chennai Super Kings
40,K.Bhagath Varma,2000000,ALL-ROUNDER,0.2,2000000,Chennai Super Kings,Chennai Super Kings
41,Simarjeet Singh,2000000,BOWLER,0.2,2000000,Mumbai Indians,Chennai Super Kings
42,N. Jagadeesan,2000000,WICKETKEEPER,0.2,2000000,Chennai Super Kings,Chennai Super Kings
43,C.Hari Nishaanth,2000000,BATTER,0.2,2000000,Chennai Super Kings,Chennai Super Kings
44,K.M. Asif,2000000,BOWLER,0.2,2000000,Chennai Super Kings,Chennai Super Kings
45,Tushar Deshpande,2000000,BOWLER,0.2,2000000,,Chennai Super Kings
46,Subhranshu Senapati,2000000,BATTER,0.2,2000000,,Chennai Super Kings
47,Mukesh Choudhary,2000000,BOWLER,0.2,2000000,,Chennai Super Kings
48,Rishabh Pant,Retained,WICKETKEEPER,16,160000000,Delhi Capitals,Delhi Capitals
49,Shardul Thakur,20000000,BOWLER,10.75,107500000,Chennai Super Kings,Delhi Capitals
50,Axar Patel,Retained,ALL-ROUNDER,9,90000000,Delhi Capitals,Delhi Capitals
51,Prithvi Shaw,Retained,BATTER,7.5,75000000,Delhi Capitals,Delhi Capitals
52,Mumbai Indianstchell Marsh,20000000,ALL-ROUNDER,6.5,65000000,,Delhi Capitals
53,Anrich Nortje,Retained,BOWLER,6.5,65000000,Delhi Capitals,Delhi Capitals
54,David Warner,20000000,BATTER,6.25,62500000,Sunrisers Hyderabad,Delhi Capitals
55,Syed Khaleel Ahmed,5000000,BOWLER,5.25,52500000,Sunrisers Hyderabad,Delhi Capitals
56,Chetan Sakariya,5000000,BOWLER,4.2,42000000,Rajasthan Royals,Delhi Capitals
57,Rovman Powell,7500000,BATTER,2.8,28000000,,Delhi Capitals
58,K.S. Bharat,2000000,WICKETKEEPER,2,20000000,Royal Challengers Bangalore,Delhi Capitals
59,Mustafizur Rahman,20000000,BOWLER,2,20000000,Rajasthan Royals,Delhi Capitals
60,Kuldeep Yadav,10000000,BOWLER,2,20000000,Kolkata Knight Riders,Delhi Capitals
61,Kamlesh Nagarkoti,4000000,ALL-ROUNDER,1.1,11000000,Kolkata Knight Riders,Delhi Capitals
62,Mandeep Singh,5000000,BATTER,1.1,11000000,Punjab Kings,Delhi Capitals
63,Lalit Yadav,2000000,ALL-ROUNDER,0.65,6500000,Delhi Capitals,Delhi Capitals
64,Tim Seifert,5000000,WICKETKEEPER,0.5,5000000,Kolkata Knight Riders,Delhi Capitals
65,Pravin Dubey,2000000,ALL-ROUNDER,0.5,5000000,Delhi Capitals,Delhi Capitals
66,Lungisani Ngidi,5000000,BOWLER,0.5,5000000,Chennai Super Kings,Delhi Capitals
67,Yash Dhull,2000000,ALL-ROUNDER,0.5,5000000,,Delhi Capitals
68,Ashwin Hebbar,2000000,BATTER,0.2,2000000,,Delhi Capitals
69,Sarfaraz Khan,2000000,ALL-ROUNDER,0.2,2000000,Punjab Kings,Delhi Capitals
70,Ripal Patel,2000000,ALL-ROUNDER,0.2,2000000,Delhi Capitals,Delhi Capitals
71,Vicky Ostwal,2000000,ALL-ROUNDER,0.2,2000000,,Delhi Capitals
72,Shreyas Iyer,20000000,BATTER,12.25,122500000,Delhi Capitals,Kolkata Knight Riders
73,Andre Russell,Retained,ALL-ROUNDER,12,120000000,Kolkata Knight Riders,Kolkata Knight Riders
74,Nitish Rana,10000000,ALL-ROUNDER,8,80000000,Kolkata Knight Riders,Kolkata Knight Riders
75,Venkatesh Iyer,Retained,ALL-ROUNDER,8,80000000,Kolkata Knight Riders,Kolkata Knight Riders
76,Varun Chakaravarthy,Retained,BOWLER,8,80000000,Kolkata Knight Riders,Kolkata Knight Riders
77,Pat CumMumbai Indiansns,20000000,ALL-ROUNDER,7.25,72500000,Kolkata Knight Riders,Kolkata Knight Riders
78,Shivam Mavi,4000000,ALL-ROUNDER,7.25,72500000,Kolkata Knight Riders,Kolkata Knight Riders
79,Sunil Narine,Retained,ALL-ROUNDER,6,60000000,Kolkata Knight Riders,Kolkata Knight Riders
80,Sam Billings,20000000,WICKETKEEPER,2,20000000,Delhi Capitals,Kolkata Knight Riders
81,Umesh Yadav,20000000,BOWLER,2,20000000,Delhi Capitals,Kolkata Knight Riders
82,Tim Southee,15000000,BOWLER,1.5,15000000,Kolkata Knight Riders,Kolkata Knight Riders
83,Alex Hales,15000000,BATTER,1.5,15000000,,Kolkata Knight Riders
84,Ajinkya Rahane,10000000,BATTER,1,10000000,Delhi Capitals,Kolkata Knight Riders
85,Mohammad Nabi,10000000,ALL-ROUNDER,1,10000000,Sunrisers Hyderabad,Kolkata Knight Riders
86,Sheldon Jackson,3000000,WICKETKEEPER,0.6,6000000,Kolkata Knight Riders,Kolkata Knight Riders
87,Rinku Singh,2000000,BATTER,0.55,5500000,,Kolkata Knight Riders
88,Ashok Sharma,2000000,BOWLER,0.55,5500000,,Kolkata Knight Riders
89,ChaMumbai Indianska Karunaratne,5000000,ALL-ROUNDER,0.5,5000000,,Kolkata Knight Riders
90,Abhijeet Tomar,2000000,BATTER,0.4,4000000,,Kolkata Knight Riders
91,Rasikh Dar,2000000,BOWLER,0.2,2000000,,Kolkata Knight Riders
92,Anukul Roy,2000000,ALL-ROUNDER,0.2,2000000,Mumbai Indians,Kolkata Knight Riders
93,Baba Indrajith,2000000,WICKETKEEPER,0.2,2000000,,Kolkata Knight Riders
94,Aman Khan,2000000,ALL-ROUNDER,0.2,2000000,,Kolkata Knight Riders
95,Ramesh Kumar,2000000,BATTER,0.2,2000000,,Kolkata Knight Riders
96,Pratham Singh,2000000,BATTER,0.2,2000000,,Kolkata Knight Riders
97,Mayank Agarwal,Retained,BATTER,12,120000000,Punjab Kings,Punjab Kings
98,Liam Livingstone,10000000,ALL-ROUNDER,11.5,115000000,Rajasthan Royals,Punjab Kings
99,Kagiso Rabada,20000000,BOWLER,9.25,92500000,Delhi Capitals,Punjab Kings
100,Shahrukh Khan,4000000,ALL-ROUNDER,9,90000000,Punjab Kings,Punjab Kings
101,Shikhar Dhawan,20000000,BATTER,8.25,82500000,Delhi Capitals,Punjab Kings
102,Jonny Bairstow,15000000,WICKETKEEPER,6.75,67500000,Sunrisers Hyderabad,Punjab Kings
103,Odean SMumbai Indiansth,10000000,ALL-ROUNDER,6,60000000,,Punjab Kings
104,Rahul Chahar,7500000,BOWLER,5.25,52500000,Mumbai Indians,Punjab Kings
105,Arshdeep Singh,Retained,BOWLER,4,40000000,Punjab Kings,Punjab Kings
106,Harpreet Brar,2000000,ALL-ROUNDER,3.8,38000000,Punjab Kings,Punjab Kings
107,Vaibhav Arora,2000000,BOWLER,2,20000000,Kolkata Knight Riders,Punjab Kings
108,Raj Angad Bawa,2000000,ALL-ROUNDER,2,20000000,,Punjab Kings
109,Nathan Ellis,7500000,BOWLER,0.75,7500000,Punjab Kings,Punjab Kings
110,Prabhsimran Singh,2000000,WICKETKEEPER,0.6,6000000,Punjab Kings,Punjab Kings
111,Rishi Dhawan,5000000,ALL-ROUNDER,0.55,5500000,,Punjab Kings
112,Sandeep Sharma,5000000,BOWLER,0.5,5000000,Sunrisers Hyderabad,Punjab Kings
113,Bhanuka Rajapaksa,5000000,BATTER,0.5,5000000,,Punjab Kings
114,Benny Howell,4000000,ALL-ROUNDER,0.4,4000000,,Punjab Kings
115,Ishan Porel,2000000,BOWLER,0.25,2500000,Punjab Kings,Punjab Kings
116,Prerak Mankad,2000000,ALL-ROUNDER,0.2,2000000,,Punjab Kings
117,Ansh Patel,2000000,ALL-ROUNDER,0.2,2000000,,Punjab Kings
118,Jitesh Sharma,2000000,WICKETKEEPER,0.2,2000000,,Punjab Kings
119,Writtick Chatterjee,2000000,ALL-ROUNDER,0.2,2000000,,Punjab Kings
120,Atharva Taide,2000000,ALL-ROUNDER,0.2,2000000,,Punjab Kings
121,Baltej Dhanda,2000000,BOWLER,0.2,2000000,,Punjab Kings
122,KL Rahul,Draft Pick,WICKETKEEPER,17,170000000,Punjab Kings,Lucknow Super Giants
123,Avesh Khan,2000000,BOWLER,10,100000000,Delhi Capitals,Lucknow Super Giants
124,Marcus Stoinis,Draft Pick,ALL-ROUNDER,9.2,92000000,Delhi Capitals,Lucknow Super Giants
125,Jason Holder,15000000,ALL-ROUNDER,8.75,87500000,Sunrisers Hyderabad,Lucknow Super Giants
126,Krunal Pandya,20000000,ALL-ROUNDER,8.25,82500000,Mumbai Indians,Lucknow Super Giants
127,Mark Wood,20000000,BOWLER,7.5,75000000,,Lucknow Super Giants
128,Quinton De Kock,20000000,WICKETKEEPER,6.75,67500000,Mumbai Indians,Lucknow Super Giants
129,Deepak Hooda,7500000,ALL-ROUNDER,5.75,57500000,Punjab Kings,Lucknow Super Giants
130,Manish Pandey,10000000,BATTER,4.6,46000000,Sunrisers Hyderabad,Lucknow Super Giants
131,Ravi Bishnoi,Draft Pick,BOWLER,4,40000000,Punjab Kings,Lucknow Super Giants
132,Dushmanta Chameera,5000000,BOWLER,2,20000000,,Lucknow Super Giants
133,Evin Lewis,20000000,BATTER,2,20000000,Rajasthan Royals,Lucknow Super Giants
134,K. Gowtham,5000000,ALL-ROUNDER,0.9,9000000,Chennai Super Kings,Lucknow Super Giants
135,Kyle Mayers,5000000,ALL-ROUNDER,0.5,5000000,,Lucknow Super Giants
136,Shahbaz Nadeem,5000000,BOWLER,0.5,5000000,Sunrisers Hyderabad,Lucknow Super Giants
137,Ankit Singh Rajpoot,2000000,BOWLER,0.5,5000000,,Lucknow Super Giants
138,Manan Vohra,2000000,BATTER,0.2,2000000,Rajasthan Royals,Lucknow Super Giants
139,B. Sai Sudharsan,2000000,ALL-ROUNDER,0.2,2000000,,Lucknow Super Giants
140,Karan Sharma,2000000,ALL-ROUNDER,0.2,2000000,,Lucknow Super Giants
141,Ayush Badoni,2000000,ALL-ROUNDER,0.2,2000000,,Lucknow Super Giants
142,Mohsin Khan,2000000,BOWLER,0.2,2000000,Mumbai Indians,Lucknow Super Giants
143,Mayank Yadav,2000000,BOWLER,0.2,2000000,,Lucknow Super Giants
144,Rohit Sharma,Retained,BATTER,16,160000000,Mumbai Indians,Mumbai Indians
145,Ishan Kishan,20000000,WICKETKEEPER,15.25,152500000,Mumbai Indians,Mumbai Indians
146,Jasprit Bumrah,Retained,BOWLER,12,120000000,Mumbai Indians,Mumbai Indians
147,Tim David,4000000,ALL-ROUNDER,8.25,82500000,Royal Challengers Bangalore,Mumbai Indians
148,Jofra Archer,20000000,ALL-ROUNDER,8,80000000,Rajasthan Royals,Mumbai Indians
149,Suryakumar Yadav,Retained,BATTER,8,80000000,Mumbai Indians,Mumbai Indians
150,Kieron Pollard,Retained,ALL-ROUNDER,6,60000000,Mumbai Indians,Mumbai Indians
151,Dewald Brevis,2000000,BATTER,3,30000000,,Mumbai Indians
152,Daniel Sams,10000000,ALL-ROUNDER,2.6,26000000,Royal Challengers Bangalore,Mumbai Indians
153,N. Tilak Varma,2000000,ALL-ROUNDER,1.7,17000000,,Mumbai Indians
154,Murugan Ashwin,2000000,BOWLER,1.6,16000000,Punjab Kings,Mumbai Indians
155,Tymal Mumbai Indianslls,10000000,BOWLER,1.5,15000000,,Mumbai Indians
156,Jaydev Unadkat,7500000,BOWLER,1.3,13000000,Rajasthan Royals,Mumbai Indians
157,Riley Meredith,10000000,BOWLER,1,10000000,Punjab Kings,Mumbai Indians
158,Fabian Allen,7500000,ALL-ROUNDER,0.75,7500000,,Mumbai Indians
159,Mayank Markande,5000000,BOWLER,0.65,6500000,Rajasthan Royals,Mumbai Indians
160,Sanjay Yadav,2000000,ALL-ROUNDER,0.5,5000000,,Mumbai Indians
161,Arjun Tendulkar,2000000,ALL-ROUNDER,0.3,3000000,Mumbai Indians,Mumbai Indians
162,Basil Thampi,3000000,BOWLER,0.3,3000000,Sunrisers Hyderabad,Mumbai Indians
163,Anmolpreet Singh,2000000,BATTER,0.2,2000000,Mumbai Indians,Mumbai Indians
164,Aryan Juyal,2000000,WICKETKEEPER,0.2,2000000,,Mumbai Indians
165,Ramandeep Singh,2000000,ALL-ROUNDER,0.2,2000000,,Mumbai Indians
166,Rahul Buddhi,2000000,BATTER,0.2,2000000,,Mumbai Indians
167,Hrithik Shokeen,2000000,ALL-ROUNDER,0.2,2000000,,Mumbai Indians
168,Mohd. Arshad Khan,2000000,ALL-ROUNDER,0.2,2000000,,Mumbai Indians
169,Virat Kohli,Retained,BATTER,15,150000000,Royal Challengers Bangalore,Royal Challengers Bangalore
170,Glenn Maxwell,Retained,ALL-ROUNDER,11,110000000,Royal Challengers Bangalore,Royal Challengers Bangalore
171,Wanindu Hasaranga,10000000,ALL-ROUNDER,10.75,107500000,Royal Challengers Bangalore,Royal Challengers Bangalore
172,Harshal Patel,20000000,ALL-ROUNDER,10.75,107500000,Royal Challengers Bangalore,Royal Challengers Bangalore
173,Josh Hazlewood,20000000,BOWLER,7.75,77500000,Chennai Super Kings,Royal Challengers Bangalore
174,Faf Du Plessis,20000000,BATTER,7,70000000,Chennai Super Kings,Royal Challengers Bangalore
175,Mohammed Siraj,Retained,BOWLER,7,70000000,Royal Challengers Bangalore,Royal Challengers Bangalore
176,Dinesh Karthik,20000000,WICKETKEEPER,5.5,55000000,Kolkata Knight Riders,Royal Challengers Bangalore
177,Anuj Rawat,2000000,WICKETKEEPER,3.4,34000000,Rajasthan Royals,Royal Challengers Bangalore
178,Shahbaz Ahamad,3000000,ALL-ROUNDER,2.4,24000000,Royal Challengers Bangalore,Royal Challengers Bangalore
179,David Willey,20000000,ALL-ROUNDER,2,20000000,,Royal Challengers Bangalore
180,Sherfane Rutherford,10000000,ALL-ROUNDER,1,10000000,,Royal Challengers Bangalore
181,Mahipal Lomror,4000000,ALL-ROUNDER,0.95,9500000,Rajasthan Royals,Royal Challengers Bangalore
182,Finn Allen,5000000,BATTER,0.8,8000000,Royal Challengers Bangalore,Royal Challengers Bangalore
183,Siddharth Kaul,7500000,BOWLER,0.75,7500000,Sunrisers Hyderabad,Royal Challengers Bangalore
184,Jason Behrendorff,7500000,BOWLER,0.75,7500000,Chennai Super Kings,Royal Challengers Bangalore
185,Karn Sharma,5000000,BOWLER,0.5,5000000,Chennai Super Kings,Royal Challengers Bangalore
186,Suyash Prabhudessai,2000000,ALL-ROUNDER,0.3,3000000,Royal Challengers Bangalore,Royal Challengers Bangalore
187,Chama Mumbai Indianslind,2000000,BOWLER,0.25,2500000,,Royal Challengers Bangalore
188,Akash Deep,2000000,BOWLER,0.2,2000000,Royal Challengers Bangalore,Royal Challengers Bangalore
189,Aneeshwar Gautam,2000000,ALL-ROUNDER,0.2,2000000,,Royal Challengers Bangalore
190,Luvnith Sisodia,2000000,WICKETKEEPER,0.2,2000000,,Royal Challengers Bangalore
191,Sanju Samson,Retained,WICKETKEEPER,14,140000000,Rajasthan Royals,Rajasthan Royals
192,Jos Buttler,Retained,WICKETKEEPER,10,100000000,Rajasthan Royals,Rajasthan Royals
193,Prasidh Krishna,10000000,BOWLER,10,100000000,Kolkata Knight Riders,Rajasthan Royals
194,Shimron Hetmyer,15000000,BATTER,8.5,85000000,Delhi Capitals,Rajasthan Royals
195,Trent Boult,20000000,BOWLER,8,80000000,Mumbai Indians,Rajasthan Royals
196,Devdutt Padikkal,20000000,BATTER,7.75,77500000,Royal Challengers Bangalore,Rajasthan Royals
197,Yuzvendra Chahal,20000000,BOWLER,6.5,65000000,Royal Challengers Bangalore,Rajasthan Royals
198,R. Ashwin,20000000,ALL-ROUNDER,5,50000000,Delhi Capitals,Rajasthan Royals
199,Yashaswi Jaiswal,Retained,BATTER,4,40000000,Rajasthan Royals,Rajasthan Royals
200,Riyan Parag,3000000,ALL-ROUNDER,3.8,38000000,Rajasthan Royals,Rajasthan Royals
201,Navdeep Saini,7500000,BOWLER,2.6,26000000,Royal Challengers Bangalore,Rajasthan Royals
202,Nathan Coulter-Nile,20000000,BOWLER,2,20000000,Mumbai Indians,Rajasthan Royals
203,James Neesham,15000000,ALL-ROUNDER,1.5,15000000,Mumbai Indians,Rajasthan Royals
204,Karun Nair,5000000,BATTER,1.4,14000000,Kolkata Knight Riders,Rajasthan Royals
205,Rassie Van Der Dussen,10000000,BATTER,1,10000000,,Rajasthan Royals
206,Obed Mccoy,7500000,BOWLER,0.75,7500000,,Rajasthan Royals
207,Daryl Mumbai Indianstchell,7500000,ALL-ROUNDER,0.75,7500000,,Rajasthan Royals
208,K.C Cariappa,2000000,BOWLER,0.3,3000000,Rajasthan Royals,Rajasthan Royals
209,Anunay Singh,2000000,ALL-ROUNDER,0.2,2000000,,Rajasthan Royals
210,Kuldeep Sen,2000000,BOWLER,0.2,2000000,,Rajasthan Royals
211,Dhruv Jurel,2000000,WICKETKEEPER,0.2,2000000,,Rajasthan Royals
212,Tejas Baroka,2000000,BOWLER,0.2,2000000,,Rajasthan Royals
213,Kuldip Yadav,2000000,BOWLER,0.2,2000000,Rajasthan Royals,Rajasthan Royals
214,Shubham Garhwal,2000000,ALL-ROUNDER,0.2,2000000,,Rajasthan Royals
215,Kane Williamson,Retained,BATTER,14,140000000,Sunrisers Hyderabad,Sunrisers Hyderabad
216,Nicholas Pooran,15000000,WICKETKEEPER,10.75,107500000,Punjab Kings,Sunrisers Hyderabad
217,Washington Sundar,15000000,ALL-ROUNDER,8.75,87500000,Royal Challengers Bangalore,Sunrisers Hyderabad
218,Rahul Tripathi,4000000,BATTER,8.5,85000000,Kolkata Knight Riders,Sunrisers Hyderabad
219,Romario Shepherd,7500000,ALL-ROUNDER,7.75,77500000,,Sunrisers Hyderabad
220,Abhishek Sharma,2000000,ALL-ROUNDER,6.5,65000000,Sunrisers Hyderabad,Sunrisers Hyderabad
221,Marco Jansen,5000000,ALL-ROUNDER,4.2,42000000,Mumbai Indians,Sunrisers Hyderabad
222,Bhuvneshwar Kumar,20000000,BOWLER,4.2,42000000,Sunrisers Hyderabad,Sunrisers Hyderabad
223,T. Natarajan,10000000,BOWLER,4,40000000,Sunrisers Hyderabad,Sunrisers Hyderabad
224,Abdul Samad,Retained,ALL-ROUNDER,4,40000000,Sunrisers Hyderabad,Sunrisers Hyderabad
225,Umran Malik,Retained,BOWLER,4,40000000,Sunrisers Hyderabad,Sunrisers Hyderabad
226,Kartik Tyagi,2000000,BOWLER,4,40000000,Rajasthan Royals,Sunrisers Hyderabad
227,Aiden Markram,10000000,BATTER,2.6,26000000,Punjab Kings,Sunrisers Hyderabad
228,Sean Abbott,7500000,BOWLER,2.4,24000000,,Sunrisers Hyderabad
229,Glenn Phillips,15000000,WICKETKEEPER,1.5,15000000,Rajasthan Royals,Sunrisers Hyderabad
230,Shreyas Gopal,2000000,BOWLER,0.75,7500000,Rajasthan Royals,Sunrisers Hyderabad
231,Vishnu Vinod,2000000,WICKETKEEPER,0.5,5000000,Delhi Capitals,Sunrisers Hyderabad
232,Fazalhaq Farooqi,5000000,BOWLER,0.5,5000000,,Sunrisers Hyderabad
233,Priyam Garg,2000000,BATTER,0.2,2000000,Sunrisers Hyderabad,Sunrisers Hyderabad
234,R Samarth,2000000,BATTER,0.2,2000000,,Sunrisers Hyderabad
235,Jagadeesha Suchith,2000000,BOWLER,0.2,2000000,Sunrisers Hyderabad,Sunrisers Hyderabad
236,Shashank Singh,2000000,ALL-ROUNDER,0.2,2000000,,Sunrisers Hyderabad
237,Saurabh Dubey,2000000,BOWLER,0.2,2000000,,Sunrisers Hyderabad
238,Suresh Raina,20000000,BATTER,,0,Chennai Super Kings,Unsold
239,Steve SMumbai Indiansth,20000000,BATTER,,0,Delhi Capitals,Unsold
240,Shakib Al Hasan,20000000,ALL-ROUNDER,,0,Kolkata Knight Riders,Unsold
241,AMumbai Indianst Mumbai Indiansshra,15000000,BOWLER,,0,Delhi Capitals,Unsold
242,Adil Rashid,20000000,BOWLER,,0,Punjab Kings,Unsold
